model,n_features,auc,average_precision,base_rate,auc_over_grade_only
grade_only,1,0.6794073979572515,0.31114197977895647,0.19965015386292573,0.0
incumbent_only,3,0.6967910174099714,0.3505019114966072,0.19965015386292573,0.0174
applicant_only,43,0.7182425280664216,0.3876838621132799,0.19965015386292573,0.0388
full,46,0.7243375225798409,0.3943316135005595,0.19965015386292573,0.0449
full_logreg,46,0.7101202204039536,0.3700029394038217,0.19965015386292573,0.0307
